rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
527,A5100430241,Hong Zhang,Hong Zhang,2,399,0.5,2015,2024,2.0,https://orcid.org/0000-0001-7670-626x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100430241,1,Profile count,2,0
528,A5100430253,Hong Zhang,Hong Zhang,2,336,0.6,2023,2024,8.5,https://orcid.org/0000-0001-9855-4068,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100430253,1,Profile count,2,0
529,A5100430256,Hong Zhang,Hong Zhang,2,17,11.76,2021,2023,6.0,https://orcid.org/0000-0002-0650-0482,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100430256,1,Profile count,2,0
530,A5100430333,Hong Zhang,Hong Zhang,2,22,9.09,2022,2023,4.5,https://orcid.org/0000-0002-9573-2436,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100430333,1,Profile count,2,0
531,A5100430342,Hong Zhang,Hong Zhang,2,36,5.56,2021,2021,3.5,https://orcid.org/0000-0003-1682-8171,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100430342,1,Profile count,2,0
532,A5100604501,Hong Zhang,Hong Zhang,2,15,13.33,2023,2023,3.0,https://orcid.org/0000-0002-9197-4462,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100604501,1,Profile count,2,0
533,A5100423847,Hui Li,Hui Li,2,60,3.33,2020,2024,0.5,https://orcid.org/0000-0001-9722-2619,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100423847,1,Profile count,2,0
534,A5100423886,Hui Li,Hui Li,2,290,0.69,2021,2023,2.5,https://orcid.org/0000-0002-4114-8349,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100423886,1,Profile count,2,0
535,A5100423962,Hui Li,Hui Li,2,47,4.26,2022,2025,7.0,https://orcid.org/0000-0003-2287-9493,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100423962,1,Profile count,2,0
536,A5100423990,Hui Li,Hui Li,2,159,1.26,2023,2024,6.5,https://orcid.org/0000-0003-4212-9155,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100423990,1,Profile count,2,0
537,A5100423995,Hui Li,Hui Li,2,455,0.44,2019,2022,1.5,https://orcid.org/0000-0003-4759-1779,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100423995,1,Profile count,2,0
538,A5100632608,Hui Li,Hui Li,2,14,14.29,2023,2025,2.5,https://orcid.org/0000-0002-0491-3638,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100632608,1,Profile count,2,0
539,A5100654977,Hui Li,Hui Li,2,893,0.22,2022,2023,1.0,https://orcid.org/0000-0001-9355-1116,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100654977,1,Profile count,2,0
540,A5100677514,Hui Li,Hui Li,2,6,33.33,2024,2026,3.0,https://orcid.org/0000-0001-5892-8803,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100677514,1,Profile count,2,0
541,A5100733485,Hui Li,Hui Li,2,267,0.75,2021,2022,4.0,https://orcid.org/0000-0003-0103-1872,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100733485,1,Profile count,2,0
542,A5113149079,Hui Li,Hui Li,2,24,8.33,2023,2023,5.0,https://orcid.org/0000-0003-3262-569x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5113149079,1,Profile count,2,0
543,A5117779795,Hui Li,Hui Li,2,200,1.0,2023,2024,1.5,https://orcid.org/0000-0002-7031-8562,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5117779795,1,Profile count,2,0
544,A5012063033,Hui Liu,Hui Liu,2,3,66.67,2023,2023,1.0,https://orcid.org/0000-0003-0798-8667,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5012063033,1,Profile count,2,0
545,A5100387540,Hui Liu,Hui Liu,2,11,18.18,2024,2025,1.5,https://orcid.org/0000-0001-9986-1473,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100387540,1,Profile count,2,0
546,A5100387574,Hui Liu,Hui Liu,2,303,0.66,2021,2025,5.0,https://orcid.org/0000-0002-4105-8570,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100387574,1,Profile count,2,0
547,A5100387599,Hui Liu,Hui Liu,2,137,1.46,2025,2025,5.0,https://orcid.org/0000-0003-3773-174x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100387599,1,Profile count,2,0
548,A5100387656,Hui Liu,Hui Liu,2,1127,0.18,2010,2011,0.0,https://orcid.org/0000-0003-2693-2546,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100387656,1,Profile count,2,0
549,A5042882563,Hui Wang,Hui Wang,2,2,100.0,2023,2023,1.0,,High,High confidence: all 2 papers match the full RWD name exactly.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5042882563,1,Profile count,2,0
550,A5065351471,Hui Wang,Hui Wang,2,94,2.13,2022,2025,1.5,https://orcid.org/0000-0001-8419-4110,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5065351471,1,Profile count,2,0
551,A5100460717,Hui Wang,Hui Wang,2,144,1.39,2023,2025,6.0,https://orcid.org/0000-0001-9651-2729,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460717,1,Profile count,2,0
552,A5100460827,Hui Wang,Hui Wang,2,637,0.31,2015,2024,2.0,https://orcid.org/0000-0002-7639-5702,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460827,1,Profile count,2,0
553,A5100460897,Hui Wang,Hui Wang,2,433,0.46,2021,2023,2.0,https://orcid.org/0000-0003-1450-6320,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460897,1,Profile count,2,0
554,A5100460913,Hui Wang,Hui Wang,2,86,2.33,2023,2024,0.5,https://orcid.org/0000-0003-2238-8782,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460913,1,Profile count,2,0
555,A5100460916,Hui Wang,Hui Wang,2,226,0.88,2023,2023,6.0,https://orcid.org/0000-0003-2568-7200,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460916,1,Profile count,2,0
556,A5100460953,Hui Wang,Hui Wang,2,241,0.83,2011,2014,2.0,https://orcid.org/0000-0003-4722-4776,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460953,1,Profile count,2,0
557,A5100603359,Hui Wang,Hui Wang,2,340,0.59,2009,2024,1.5,https://orcid.org/0000-0002-0663-5651,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100603359,1,Profile count,2,0
558,A5100678679,Hui Wang,Hui Wang,2,313,0.64,2011,2011,0.0,https://orcid.org/0000-0003-0493-185x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100678679,1,Profile count,2,0
559,A5115602022,Hui Wang,Hui Wang,2,508,0.39,2021,2022,7.5,https://orcid.org/0000-0001-8478-9990,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115602022,1,Profile count,2,0
560,A5019822259,Hui Zhang,Hui Zhang,2,5,40.0,2023,2023,1.0,https://orcid.org/0000-0002-4081-2834,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5019822259,1,Profile count,2,0
561,A5032345419,Hui Zhang,Hui Zhang,2,57,3.51,2023,2025,2.5,https://orcid.org/0000-0003-2556-9423,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5032345419,1,Profile count,2,0
562,A5100323330,Hui Zhang,Hui Wang; Hui Zhang,2,22,9.09,2023,2023,2.0,https://orcid.org/0000-0001-5716-9331,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100323330,1,Profile count,2,0
563,A5100323405,Hui Zhang,Hui Zhang,2,607,0.33,2015,2023,2.5,https://orcid.org/0000-0002-0756-9334,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100323405,1,Profile count,2,0
564,A5100323451,Hui Zhang,Hui Zhang,2,530,0.38,2009,2015,2.5,https://orcid.org/0000-0002-4819-6482,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100323451,1,Profile count,2,0
565,A5100663269,Hui Zhang,Hui Zhang,2,1111,0.18,2011,2022,0.5,https://orcid.org/0000-0002-2508-4912,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100663269,1,Profile count,2,0
566,A5132799693,J Boldt,Joachim Boldt,2,2,100.0,2026,2026,22.5,,Review,"Needs review: all 2 papers use an abbreviated OpenAlex name. There is no ORCID and no paper that spells out ‘Joachim Boldt’, so the full name cannot be confirmed.",Unresolved abbreviation,We kept this OpenAlex profile separate because we could not identify one full-name profile with enough certainty.,No exact full-name paper or strong link to one was found.,A5132799693,1,Profile count,0,2
567,A5100402458,Jian Li,Jian Li,2,841,0.24,2022,2025,2.5,https://orcid.org/0000-0002-0030-1423,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100402458,1,Profile count,2,0
568,A5100402479,Jian Li,Jian Li,2,174,1.15,2019,2023,0.5,https://orcid.org/0000-0002-2350-3968,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100402479,1,Profile count,2,0
569,A5100402604,Jian Li,Jian Li,2,264,0.76,2024,2024,4.0,https://orcid.org/0000-0003-3097-7210,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100402604,1,Profile count,2,0
570,A5100602299,Jian Li,Jian Li,2,184,1.09,2010,2010,0.0,https://orcid.org/0000-0001-8783-6000,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100602299,1,Profile count,2,0
571,A5100710279,Jian Li,Jian Li,2,181,1.1,2014,2024,1.0,https://orcid.org/0000-0003-1033-842x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100710279,1,Profile count,2,0
572,A5101812357,Jian Li,Jian Li,2,7,28.57,2023,2023,1.5,https://orcid.org/0000-0002-4333-7469,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101812357,1,Profile count,2,0
573,A5100686671,Jian Wang,Jian Wang,2,649,0.31,2011,2022,0.5,https://orcid.org/0000-0002-3106-5638,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100686671,1,Profile count,2,0
574,A5100758062,Jian Wang,Jian Wang,2,468,0.43,2023,2025,1.0,https://orcid.org/0000-0003-3633-6799,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100758062,1,Profile count,2,0
575,A5115589622,Jian Wang,Jian Wang,2,198,1.01,2024,2026,6.0,https://orcid.org/0009-0006-9630-3111,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115589622,1,Profile count,2,0
576,A5029116476,Jian Xu,Jian Xu,2,112,1.79,2011,2022,4.5,https://orcid.org/0000-0002-4227-2608,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5029116476,1,Profile count,2,0
577,A5034257967,Jian Xu,Jian Xu,2,337,0.59,2008,2011,0.0,https://orcid.org/0000-0001-5287-1009,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5034257967,1,Profile count,2,0
578,A5086979542,Jian Xu,Jian Xu,2,4,50.0,2023,2023,1.0,https://orcid.org/0000-0002-2640-5722,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5086979542,1,Profile count,2,0
579,A5000314950,Jian Zhang,Jian Zhang,2,176,1.14,2018,2019,1.0,https://orcid.org/0000-0001-7681-8747,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5000314950,1,Profile count,2,0
580,A5091790870,Jian Zhang,Jian Zhang,2,188,1.06,2022,2026,3.0,https://orcid.org/0000-0003-3612-7989,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5091790870,1,Profile count,2,0
581,A5100409892,Jian Zhang,Jian Zhang,2,88,2.27,2020,2020,7.0,https://orcid.org/0000-0001-8338-9426,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100409892,1,Profile count,2,0
582,A5100409969,Jian Zhang,Jian Zhang,2,412,0.49,2015,2025,1.5,https://orcid.org/0000-0002-5093-4325,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100409969,1,Profile count,2,0
583,A5100409987,Jian Zhang,Jian Zhang,2,1545,0.13,2023,2023,2.0,https://orcid.org/0000-0002-6558-791x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100409987,1,Profile count,2,0
584,A5100410059,Jian Zhang,Jian Zhang,2,65,3.08,2023,2023,2.0,https://orcid.org/0000-0003-1375-4947,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100410059,1,Profile count,2,0
585,A5100680432,Jian Zhang,Jian Zhang,2,214,0.93,2023,2023,2.0,https://orcid.org/0000-0002-8411-8131,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100680432,1,Profile count,2,0
586,A5008114041,Jie Chen,Jie Chen,2,591,0.34,2022,2023,3.0,https://orcid.org/0000-0002-9254-4413,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5008114041,1,Profile count,2,0
587,A5100332848,Jie Chen,Jie Chen,2,271,0.74,2009,2020,6.0,https://orcid.org/0000-0001-8113-3515,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100332848,1,Profile count,2,0
588,A5100332904,Jie Chen,Jie Chen,2,355,0.56,2015,2016,4.0,https://orcid.org/0000-0002-2658-9525,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100332904,1,Profile count,2,0
589,A5100332975,Jie Chen,Jie Chen,2,100,2.0,2019,2024,4.5,https://orcid.org/0000-0002-8800-1539,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100332975,1,Profile count,2,0
590,A5100332999,Jie Chen,Jie Chen,2,466,0.43,2015,2025,1.5,https://orcid.org/0000-0003-2052-8155,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100332999,1,Profile count,2,0
591,A5100428821,Jie Chen,Jie Chen,2,805,0.25,2011,2025,0.5,https://orcid.org/0000-0003-3171-1887,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100428821,1,Profile count,2,0
592,A5100392763,Jie Li,Jie Li,2,195,1.03,2023,2025,2.5,https://orcid.org/0000-0002-9014-8900,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100392763,1,Profile count,2,0
593,A5100428220,Jie Li,Jie Li,2,18,11.11,2020,2021,2.0,https://orcid.org/0000-0002-2345-7711,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100428220,1,Profile count,2,0
594,A5036359133,Jie Liu,Jie Liu,2,9,22.22,2023,2023,1.0,https://orcid.org/0000-0002-1391-2936,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5036359133,1,Profile count,2,0
595,A5100454028,Jie Liu,Jie Liu,2,158,1.27,2023,2023,4.5,https://orcid.org/0000-0001-8219-2429,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100454028,1,Profile count,2,0
596,A5100454057,Jie Liu,Jie Liu,2,245,0.82,2022,2022,3.0,https://orcid.org/0000-0002-1069-2384,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100454057,1,Profile count,2,0
597,A5100454108,Jie Liu,Jie Liu,2,654,0.31,2021,2024,4.5,https://orcid.org/0000-0002-4530-1443,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100454108,1,Profile count,2,0
598,A5100454130,Jie Liu,Jie Liu,2,98,2.04,2021,2022,5.0,https://orcid.org/0000-0002-6359-637x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100454130,1,Profile count,2,0
599,A5100454211,Jie Liu,Jie Liu,2,436,0.46,2023,2023,2.0,https://orcid.org/0000-0003-3745-7541,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100454211,1,Profile count,2,0
600,A5100439994,Jie Wang,Jie Wang,2,53,3.77,2024,2025,5.5,https://orcid.org/0000-0001-6286-9893,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100439994,1,Profile count,2,0
601,A5100440120,Jie Wang,Jie Wang,2,220,0.91,2021,2022,4.5,https://orcid.org/0000-0002-7491-7001,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100440120,1,Profile count,2,0
602,A5100436684,Jie Zhang,Jie Zhang,2,310,0.65,2021,2025,3.0,https://orcid.org/0000-0002-0466-2955,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100436684,1,Profile count,2,0
603,A5100436704,Jie Zhang,Jie Zhang,2,667,0.3,2019,2023,0.0,https://orcid.org/0000-0002-1397-5224,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100436704,1,Profile count,2,0
604,A5100436712,Jie Zhang,Jie Zhang,2,355,0.56,2023,2023,1.0,https://orcid.org/0000-0002-1985-5485,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100436712,1,Profile count,2,0
605,A5082431907,Jin Wang,Jin Wang,2,791,0.25,2018,2025,6.0,https://orcid.org/0000-0003-3625-7919,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5082431907,1,Profile count,2,0
606,A5100346104,Jin Wang,Jin Wang,2,209,0.96,2017,2024,3.5,https://orcid.org/0000-0001-5178-7606,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100346104,1,Profile count,2,0
607,A5100346109,Jin Wang,Jin Wang,2,108,1.85,2016,2018,0.5,https://orcid.org/0000-0001-5511-3983,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100346109,1,Profile count,2,0
608,A5050008040,Jin Zhang,Jin Zhang,2,339,0.59,2023,2023,3.5,https://orcid.org/0000-0002-9117-2793,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5050008040,1,Profile count,2,0
609,A5100405986,Jin Zhang,Jin Zhang,2,40,5.0,2023,2025,5.0,https://orcid.org/0000-0002-7365-4262,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100405986,1,Profile count,2,0
